client_id,fname,lname,str_addr,city,state,zipcode,spouse,add_driver1,add_driver2,home_phone,cell_phone
C001,John,Matthews,1420 Lakeview Dr,Plano,TX,75023,Sarah,,,9725551288,2147749021
C002,Emily,Rogers,88 Meadow Ridge Ln,Frisco,TX,75034,Mark,Ryan Rogers,,4695558821,4693301199
C003,Michael,Santiago,503 Westbrook Cir,Arlington,TX,76013,,,,8175557720,6829924476
C004,Sophia,Nguyen,2201 Elm St,Dallas,TX,75201,Jason,,,2145559033,2146679088
C005,David,Hernandez,7312 Briarwood Ln,Fort Worth,TX,76102,Ana,Maria Hernandez,,8175554412,6827712209
C006,Ashley,Patel,5909 Clearbrook Dr,Irving,TX,75062,,,,9725557311,4698801440
C007,Brandon,Lee,1805 Stonebridge Trl,McKinney,TX,75070,Rachel,,,9725556644,2149327788
C008,Olivia,Garcia,4028 Creekbend Dr,Garland,TX,75040,,,,9725551189,4697053320
C009,Jacob,White,915 Lake Forest Dr,Grand Prairie,TX,75052,Katie,Logan White,,2145559020,6824401198
C010,Madison,Brown,1210 Oak Ridge Ct,Denton,TX,76201,,,,8175557711,8179063344
